ID,TERM,DESCRIPTION,TYPE_ID,CITATION,ATTRIBUTE_TYPE
0,STO-2G,STO-2G minimal basis set,1,,basis_set
1,STO-3G,STO-3G minimal basis set,1,"W.J. Hehre, R.F. Stewart and J.A. Pople, J. Chem. Phys. 2657 (1969). W.J. Hehre, R. Ditchfield, R.F. Stewart, J.A. Pople, J. Chem. Phys.  2769 (1970). W.J. Pietro, B.A. Levy, W.J. Hehre and R.F. Stewart, J. Am. Chem. Soc. 19, 2225 (1980). W.J. Pietro and W.J. Hehre, J. Comp. Chem. 4, 241 (1983).",basis_set
2,STO-4G,STO-4G minimal basis set,1,,basis_set
3,STO-6G,STO-6G minimal basis set,1,,basis_set
4,3-21G,3-21G (Pople basis set),2,,basis_set
5,4-21G,4-21G (Pople basis set),2,,basis_set
6,4-31G,4-31G (Pople basis set),2,"R. Ditchfield, W.J. Hehre and J.A. Pople, J. Chem. Phys. 54, 724 (1971).",basis_set
7,6-21G,6-21G (Pople basis set),2,,basis_set
8,6-31G,6-31G (Pople basis set),2,,basis_set
9,6-311G,6-311G (Pople basis set),2,,basis_set
10,LANL08,Uncontracted basis set,2,,basis_set
11,LANL08(f),Uncontracted basis set + f polarization,2,,basis_set
12,LANL2-[6s4p4d2f],Lanl2-[6s4p4d2f],2,,basis_set
13,LANL2DZ ECP,DZ Double Zeta Basis Set designed for an ECP,2,,basis_set
14,LANL2DZ+1d1f,LANL2DZ+1d1f ,2,,basis_set
15,LANL2DZ+2s2p2d2f,Lanl2DZ+2s2p2d2f,2,,basis_set
16,LANL2DZdp ECP,DZP Double Zeta + Polarization + Diffuse ECP,2,,basis_set
17,LANL2DZdp ECP Polarization,1P Polarization Functions,2,,basis_set
18,LANL2TZ,LANL2TZ,2,,basis_set
19,LANL2TZ(f),TZ triple zeta basis set designed for an ECP + f polarization,2,,basis_set
20,cc-pVDZ,cc-pVDZ correlation-consistent polarized basis set,2,,basis_set
21,cc-pVTZ,cc-pVTZ correlation-consistent polarized basis set,2,,basis_set
22,cc-pVQZ,cc-pVQZ correlation-consistent polarized basis set,2,,basis_set
23,cc-pV5Z,cc-pV5Z correlation-consistent polarized basis set,2,,basis_set
24,cc-pV6Z,cc-pV6Z correlation-consistent polarized basis set,2,,basis_set
25,cc-pV8Z,cc-pV8Z correlation-consistent polarized basis set,2,,basis_set
26,cc-pV9Z,cc-pV9Z correlation-consistent polarized basis set,2,,basis_set
27,cc-pVDZ-RI,cc-pVDZ-RI correlation-consistent polarized basis set,2,,basis_set
28,cc-pVTZ-RI,cc-pVTZ-RI correlation-consistent polarized basis set,2,,basis_set
29,cc-pVQZ-RI,cc-pVQZ-RI correlation-consistent polarized basis set,2,,basis_set
30,cc-pV5Z-RI,cc-pV5Z-RI correlation-consistent polarized basis set,2,,basis_set
31,cc-pV6Z-RI,cc-pV6Z-RI correlation-consistent polarized basis set,2,,basis_set
32,cc-pCVDZ,cc-pCVDZ correlation-consistent polarized basis set,2,,basis_set
