ID,TERM,DESCRIPTION,CITATION,ATTRIBUTE_TYPE
1,HF,Hartree-Fock,,method
2,UHF,Unrestricted Hartree-Fock,,method
3,ROHF,Restricted open-shell Hartree-Fock,,method
4,SCF,Self-consistent field,,method
5,MP2,Moeller-Plesset perturbation theory (second-order),,method
6,MP3,Moeller-Plesset perturbation theory (third-order),,method
7,MP4,Moeller-Plesset perturbation theory (fourth-order),,method
8,MP5,Moeller-Plesset perturbation theory (fifth-order),,method
9,CISD,Configuration interaction singles and doubles,,method
10,CISDT,"Configuration interaction singles, doubles, and triples",,method
11,CISDTQ,"Configuration interaction singles, doubles, triples, and quadruples",,method
12,CCD,Coupled-cluster doubles,,method
13,CCSD,Coupled-cluster singles and doubles,,method
14,LCCD,Linearized coupled-cluster doubles,,method
15,LCCSD,Linearized coupled-cluster singles and doubles,,method
16,CCSDT,"Coupled-cluster singles, doubles, and triples",,method
17,CCSDTQ,"Coupled-cluster singles, doubles, triples, and quadruples",,method
18,CCSD(T),CCSD and perturbative connected triples,,method
19,CR-CCSD(T),Completely renormalized CCSD(T) method,,method
20,QCISD,Quadratic configuration interaction singles & doubles,,method
21,QCISD(T),Quadratic configuration interaction singles & doubles and perturbative connected triples,,method
100,MC-SCF,Multi-configuration self-consistent field (MC-SCF),,method
101,CASSCF,Complete active space SCF,,method
102,RASSCF,Restricted active space SCF,,method
103,MR-CI(SD),Multi-reference Configuration Interaction,,method
104,MR-CCSD,Multi-reference Coupled-cluster method,,method
200,PPP,Pariser-Parr-Pople,,method
201,CNDO/2,CNDO/2,,method
202,INDO,INDO semi-empirical method,,method
203,NDDO,NDDO semi-empirical method,,method
204,MINDO,MINDO semi-empirical method,,method
205,MNDO,MNDO semi-empirical method,,method
206,AM1,AM1 semi-empirical method,,method
207,PM3,PM3 semi-empirical method,,method
208,PM6,PM6 semi-empirical method,,method
209,RM1,RM1 semi-empirical method,,method
210,SAM1,SAM1 semi-empirical method,,method
211,Sparkle/AM1,Sparkle/AM1 semi-empirical method,,method
212,ZINDO,ZINDO semi-empirical method,,method
213,SINDO,SINDO semi-empirical method,,method
214,PM3MM,PM3MM semi-empirical method (variation of PM3),,method
215,PDDG,PDDG semi-empirical method (variation of PM6),,method
300,APBE,DFT with APBE exchange-correlation functional,,method
301,B1LYP,DFT with B1LYP exchange-correlation functional,,method
302,B1B95,DFT with B1B95 exchange-correlation functional,"A. D. Becke, 'Density-functional thermochemistry. IV. A new dynamical correlation functional and implications for exact-exchange mixing,' J. Chem. Phys., 104 (1996) 1040-46.",method
303,B2PLYP,DFT with B2PLYP exchange-correlation functional,,method
304,B3LYP,DFT with B3LYP exchange-correlation functional,,method
305,B3LYP*,DFT with B3LYP* exchange-correlation functional,,method
306,B3LYP-D,DFT with B3LYP-D exchange-correlation functional,,method
307,B3P86,DFT with B3P86 exchange-correlation functional,,method
308,B3PW91,DFT with B3PW91 exchange-correlation functional,,method
309,B98,DFT with B98 exchange-correlation functional,,method
310,B97-D,DFT with B97-D pure functional,,method
311,B971,DFT with B971 exchange-correlation functional,"F. A. Hamprecht, A. Cohen, D. J. Tozer, and N. C. Handy, 'Development and assessment of new exchange-correlation functionals,' J. Chem. Phys., 109 (1998) 6264-71.",method
